pins,frequency,level
3456,147,moderate
7979,147,moderate
102,146,moderate
707,146,moderate
1052,146,moderate
1105,146,moderate
1206,146,moderate
1207,146,moderate
1208,146,moderate
1616,146,moderate
1953,146,moderate
1954,146,moderate
1998,146,moderate
2848,146,moderate
3131,146,moderate
121,145,moderate
147,145,moderate
316,145,moderate
1006,145,moderate
1219,145,moderate
1243,145,moderate
1942,145,moderate
2003,145,moderate
5000,145,moderate
5454,145,moderate
11,144,moderate
125,144,moderate
404,144,moderate
912,144,moderate
1107,144,moderate
1108,144,moderate
1314,144,moderate
1423,144,moderate
1951,144,moderate
1952,144,moderate
2004,144,moderate
2211,144,moderate
2233,144,moderate
2828,144,moderate
214,143,moderate
1016,143,moderate
1100,143,moderate
1106,143,moderate
1110,143,moderate
1116,143,moderate
1478,143,moderate
1950,143,moderate
1992,143,moderate
3000,143,moderate
3636,143,moderate
4242,143,moderate
8989,143,moderate
203,142,moderate
604,142,moderate
911,142,moderate
1109,142,moderate
1254,142,moderate
1321,142,moderate
1492,142,moderate
1949,142,moderate
7788,142,moderate
120,141,moderate
311,141,moderate
1256,141,moderate
1290,141,moderate
1346,141,moderate
4141,141,moderate
9,140,moderate
210,140,moderate
314,140,moderate
922,140,moderate
1369,140,moderate
1432,140,moderate
1472,140,moderate
2486,140,moderate
4862,140,moderate
83,139,moderate
213,139,moderate
510,139,moderate
625,139,moderate
1200,139,moderate
1453,139,moderate
1947,139,moderate
1948,139,moderate
110,138,moderate
204,138,moderate
313,138,moderate
326,138,moderate
412,138,moderate
711,138,moderate
722,138,moderate
908,138,moderate
923,138,moderate
1066,138,moderate
1323,138,moderate
1331,138,moderate
1776,138,moderate
2510,138,moderate
3117,138,moderate
4040,138,moderate
7894,138,moderate
9981,138,moderate
24,137,moderate
512,137,moderate
515,137,moderate
918,137,moderate
927,137,moderate
928,137,moderate
1312,137,moderate
1415,137,moderate
2010,137,moderate
2244,137,moderate
2929,137,moderate
5151,137,moderate
5683,137,moderate
6996,137,moderate
7070,137,moderate
7272,137,moderate
7474,137,moderate
12,136,moderate
111,136,moderate
128,136,moderate
220,136,moderate
225,136,moderate
302,136,moderate
310,136,moderate
315,136,moderate
318,136,moderate
323,136,moderate
402,136,moderate
410,136,moderate
413,136,moderate
416,136,moderate
423,136,moderate
428,136,moderate
502,136,moderate
525,136,moderate
606,136,moderate
714,136,moderate
811,136,moderate
822,136,moderate
917,136,moderate
924,136,moderate
1080,136,moderate
1134,136,moderate
1188,136,moderate
1411,136,moderate
1412,136,moderate
1812,136,moderate
1907,136,moderate
1941,136,moderate
1944,136,moderate
1946,136,moderate
1993,136,moderate
1994,136,moderate
1996,136,moderate
1997,136,moderate
2005,136,moderate
2008,136,moderate
2103,136,moderate
2356,136,moderate
5858,136,moderate
6464,136,moderate
6669,136,moderate
8080,136,moderate
112,135,moderate
122,135,moderate
304,135,moderate
305,135,moderate
312,135,moderate
325,135,moderate
327,135,moderate
611,135,moderate
704,135,moderate
712,135,moderate
809,135,moderate
829,135,moderate
1248,135,moderate
1437,135,moderate
1940,135,moderate
1943,135,moderate
1995,135,moderate
2123,135,moderate
2210,135,moderate
2212,135,moderate
2332,135,moderate
2412,135,moderate
3211,135,moderate
3214,135,moderate
3838,135,moderate
4001,135,moderate
4646,135,moderate
4747,135,moderate
9898,135,moderate
9988,135,moderate
13,134,moderate
69,134,moderate
99,134,moderate
103,134,moderate
114,134,moderate
209,134,moderate
212,134,moderate
258,134,moderate
301,134,moderate
319,134,moderate
331,134,moderate
405,134,moderate
408,134,moderate
419,134,moderate
501,134,moderate
509,134,moderate
513,134,moderate
517,134,moderate
521,134,moderate
523,134,moderate
622,134,moderate
721,134,moderate
813,134,moderate
818,134,moderate
913,134,moderate
914,134,moderate
926,134,moderate
929,134,moderate
1144,134,moderate
1311,134,moderate
1590,134,moderate
1911,134,moderate
1937,134,moderate
2469,134,moderate
3579,134,moderate
4711,134,moderate
4860,134,moderate
5757,134,moderate
5888,134,moderate
116,133,moderate
205,133,moderate
208,133,moderate
217,133,moderate
228,133,moderate
317,133,moderate
330,133,moderate
414,133,moderate
415,133,moderate
417,133,moderate
486,133,moderate
507,133,moderate
524,133,moderate
610,133,moderate
612,133,moderate
613,133,moderate
624,133,moderate
666,133,moderate
807,133,moderate
812,133,moderate
820,133,moderate
915,133,moderate
919,133,moderate
1199,133,moderate
1345,133,moderate
1452,133,moderate
1800,133,moderate
1914,133,moderate
2110,133,moderate
2311,133,moderate
2501,133,moderate
3690,133,moderate
3737,133,moderate
3939,133,moderate
4000,133,moderate
4455,133,moderate
4848,133,moderate
7575,133,moderate
7913,133,moderate
104,132,moderate
119,132,moderate
127,132,moderate
129,132,moderate
130,132,moderate
218,132,moderate
219,132,moderate
221,132,moderate
224,132,moderate
322,132,moderate
328,132,moderate
425,132,moderate
426,132,moderate
526,132,moderate
616,132,moderate
708,132,moderate
710,132,moderate
825,132,moderate
904,132,moderate
916,132,moderate
921,132,moderate
925,132,moderate
1177,132,moderate
1350,132,moderate
1404,132,moderate
1809,132,moderate
1928,132,moderate
1939,132,moderate
2111,132,moderate
2202,132,moderate
2312,132,moderate
2314,132,moderate
2341,132,moderate
3006,132,moderate
6767,132,moderate
78,131,moderate
117,131,moderate
118,131,moderate
206,131,moderate
211,131,moderate
215,131,moderate
223,131,moderate
324,131,moderate
407,131,moderate
424,131,moderate
504,131,moderate
506,131,moderate
516,131,moderate
522,131,moderate
614,131,moderate
723,131,moderate
728,131,moderate
729,131,moderate
810,131,moderate
824,131,moderate
828,131,moderate
920,131,moderate
1155,131,moderate
2006,131,moderate
2104,131,moderate
2226,131,moderate
2255,131,moderate
4343,131,moderate
5588,131,moderate
6565,131,moderate
7896,131,moderate
8585,131,moderate
9000,131,moderate
105,130,moderate
126,130,moderate
131,130,moderate
222,130,moderate
306,130,moderate
307,130,moderate
320,130,moderate
418,130,moderate
427,130,moderate
429,130,moderate
511,130,moderate
527,130,moderate
607,130,moderate
617,130,moderate
701,130,moderate
717,130,moderate
724,130,moderate
725,130,moderate
727,130,moderate
802,130,moderate
804,130,moderate
823,130,moderate
906,130,moderate
1258,130,moderate
1300,130,moderate
1342,130,moderate
1397,130,moderate
1470,130,moderate
1905,130,moderate
2011,130,moderate
3322,130,moderate
3344,130,moderate
3355,130,moderate
3412,130,moderate
5959,130,moderate
8787,130,moderate
10,129,moderate
98,129,moderate
108,129,moderate
113,129,moderate
227,129,moderate
242,129,moderate
308,129,moderate
514,129,moderate
518,129,moderate
520,129,moderate
601,129,moderate
615,129,moderate
805,129,moderate
816,129,moderate
901,129,moderate
910,129,moderate
930,129,moderate
1244,129,moderate
1322,129,moderate
1325,129,moderate
1410,129,moderate
1425,129,moderate
1469,129,moderate
1555,129,moderate
1730,129,moderate
1793,129,moderate
1908,129,moderate
2122,129,moderate
2131,129,moderate
2310,129,moderate
2918,129,moderate
3113,129,moderate
3133,129,moderate
3223,129,moderate
3515,129,moderate
4123,129,moderate
4568,129,moderate
4949,129,moderate
5353,129,moderate
5566,129,moderate
6262,129,moderate
8426,129,moderate
8899,129,moderate
9874,129,moderate
71,128,moderate
79,128,moderate
107,128,moderate
109,128,moderate
115,128,moderate
201,128,moderate
216,128,moderate
406,128,moderate
421,128,moderate
422,128,moderate
519,128,moderate
602,128,moderate
623,128,moderate
709,128,moderate
826,128,moderate
1237,128,moderate
1250,128,moderate
1269,128,moderate
1310,128,moderate
1358,128,moderate
1441,128,moderate
1456,128,moderate
1466,128,moderate
1516,128,moderate
1525,128,moderate
1933,128,moderate
1938,128,moderate
2012,128,moderate
2100,128,moderate
2134,128,moderate
2205,128,moderate
2258,128,moderate
2357,128,moderate
3256,128,moderate
3321,128,moderate
3477,128,moderate
4004,128,moderate
6405,128,moderate
7899,128,moderate
8484,128,moderate
9696,128,moderate
2,127,moderate
226,127,moderate
309,127,moderate
329,127,moderate
401,127,moderate
403,127,moderate
528,127,moderate
530,127,moderate
531,127,moderate
618,127,moderate
620,127,moderate
628,127,moderate
713,127,moderate
719,127,moderate
831,127,moderate
852,127,moderate
1255,127,moderate
1329,127,moderate
1380,127,moderate
1402,127,moderate
1435,127,moderate
1821,127,moderate
1920,127,moderate
2007,127,moderate
2324,127,moderate
2333,127,moderate
2511,127,moderate
3112,127,moderate
3377,127,moderate
3669,127,moderate
3927,127,moderate
4562,127,moderate
5525,127,moderate
6363,127,moderate
6868,127,moderate
7000,127,moderate
7007,127,moderate
7676,127,moderate
7734,127,moderate
8181,127,moderate
9292,127,moderate
9900,127,moderate
8,126,moderate
529,126,moderate
603,126,moderate
609,126,moderate
621,126,moderate
626,126,moderate
702,126,moderate
715,126,moderate
718,126,moderate
803,126,moderate
814,126,moderate
817,126,moderate
903,126,moderate
1305,126,moderate
1333,126,moderate
1500,126,moderate
1511,126,moderate
1512,126,moderate
1596,126,moderate
1711,126,moderate
1881,126,moderate
1900,126,moderate
1925,126,moderate
2223,126,moderate
2369,126,moderate
2411,126,moderate
2425,126,moderate
2442,126,moderate
3013,126,moderate
3111,126,moderate
3141,126,moderate
3353,126,moderate
7412,126,moderate
80,125,moderate
106,125,moderate
190,125,moderate
207,125,moderate
409,125,moderate
503,125,moderate
508,125,moderate
619,125,moderate
703,125,moderate
705,125,moderate
731,125,moderate
801,125,moderate
827,125,moderate
1070,125,moderate
1132,125,moderate
1138,125,moderate
1192,125,moderate
1301,125,moderate
1309,125,moderate
1315,125,moderate
1420,125,moderate
1541,125,moderate
1710,125,moderate
1789,125,moderate
1888,125,moderate
1903,125,moderate
2101,125,moderate
2105,125,moderate
2133,125,moderate
2234,125,moderate
2236,125,moderate
2288,125,moderate
2401,125,moderate
2500,125,moderate
3310,125,moderate
4561,125,moderate
5001,125,moderate
6497,125,moderate
6699,125,moderate
430,124,moderate
605,124,moderate
720,124,moderate
806,124,moderate
821,124,moderate
902,124,moderate
905,124,moderate
1042,124,moderate
1238,124,moderate
1240,124,moderate
1302,124,moderate
1303,124,moderate
1304,124,moderate
1317,124,moderate
1320,124,moderate
1407,124,moderate
1471,124,moderate
1510,124,moderate
1518,124,moderate
1523,124,moderate
1542,124,moderate
1598,124,moderate
1936,124,moderate
2301,124,moderate
2304,124,moderate
2410,124,moderate
2512,124,moderate
2514,124,moderate
3213,124,moderate
3216,124,moderate
3323,124,moderate
3421,124,moderate
3825,124,moderate
4111,124,moderate
4865,124,moderate
5129,124,moderate
5225,124,moderate
5432,124,moderate
5665,124,moderate
7171,124,moderate
7373,124,moderate
7711,124,moderate
7749,124,moderate
8008,124,moderate
9191,124,moderate
9510,124,moderate
187,123,moderate
608,123,moderate
629,123,moderate
706,123,moderate
726,123,moderate
819,123,moderate
1088,123,moderate
1239,123,moderate
1278,123,moderate
1289,123,moderate
1307,123,moderate
1316,123,moderate
1359,123,moderate
1532,123,moderate
1623,123,moderate
1688,123,moderate
1707,123,moderate
1820,123,moderate
1836,123,moderate
1892,123,moderate
1902,123,moderate
1917,123,moderate
1929,123,moderate
1932,123,moderate
2021,123,moderate
2204,123,moderate
2213,123,moderate
2230,123,moderate
2235,123,moderate
2313,123,moderate
2456,123,moderate
2588,123,moderate
3001,123,moderate
3003,123,moderate
3110,123,moderate
3123,123,moderate
3215,123,moderate
3233,123,moderate
3311,123,moderate
4114,123,moderate
4201,123,moderate
4268,123,moderate
4556,123,moderate
5123,123,moderate
5646,123,moderate
6609,123,moderate
7531,123,moderate
8000,123,moderate
8686,123,moderate
9115,123,moderate
9911,123,moderate
23,122,moderate
627,122,moderate
630,122,moderate
716,122,moderate
1098,122,moderate
1145,122,moderate
1147,122,moderate
1182,122,moderate
1187,122,moderate
1241,122,moderate
1288,122,moderate
1326,122,moderate
1340,122,moderate
1356,122,moderate
1408,122,moderate
1477,122,moderate
1501,122,moderate
1504,122,moderate
1505,122,moderate
1520,122,moderate
1524,122,moderate
1530,122,moderate
1595,122,moderate
1718,122,moderate
1775,122,moderate
1810,122,moderate
1904,122,moderate
1909,122,moderate
1910,122,moderate
1912,122,moderate
2013,122,moderate
2124,122,moderate
2143,122,moderate
2232,122,moderate
2277,122,moderate
2303,122,moderate
2306,122,moderate
2321,122,moderate
2508,122,moderate
2513,122,moderate
2526,122,moderate
2527,122,moderate
3021,122,moderate
3160,122,moderate
3231,122,moderate
3388,122,moderate
3452,122,moderate
3800,122,moderate
4456,122,moderate
4488,122,moderate
4554,122,moderate
4563,122,moderate
4989,122,moderate
6543,122,moderate
7789,122,moderate
7895,122,moderate
8246,122,moderate
9119,122,moderate
143,121,moderate
830,121,moderate
1032,121,moderate
1040,121,moderate
1135,121,moderate
1166,121,moderate
1175,121,moderate
1178,121,moderate
1308,121,moderate
1332,121,moderate
1347,121,moderate
1401,121,moderate
1403,121,moderate
1430,121,moderate
1458,121,moderate
1479,121,moderate
1502,121,moderate
1503,121,moderate
1602,121,moderate
1608,121,moderate
1610,121,moderate
1803,121,moderate
1819,121,moderate
1877,121,moderate
1906,121,moderate
1935,121,moderate
2009,121,moderate
2107,121,moderate
2109,121,moderate
2126,121,moderate
2132,121,moderate
2200,121,moderate
2201,121,moderate
2208,121,moderate
2215,121,moderate
2218,121,moderate
2322,121,moderate
2326,121,moderate
2334,121,moderate
2413,121,moderate
2505,121,moderate
2611,121,moderate
2707,121,moderate
2712,121,moderate
2811,121,moderate
3122,121,moderate
3212,121,moderate
3366,121,moderate
4416,121,moderate
4500,121,moderate
4565,121,moderate
5112,121,moderate
5577,121,moderate
5654,121,moderate
6060,121,moderate
6942,121,moderate
7799,121,moderate
9595,121,moderate
9632,121,moderate
21,120,moderate
22,120,moderate
152,120,moderate
979,120,moderate
1041,120,moderate
1069,120,moderate
1131,120,moderate
1141,120,moderate
1284,120,moderate
1319,120,moderate
1375,120,moderate
1416,120,moderate
1417,120,moderate
1424,120,moderate
1488,120,moderate
1551,120,moderate
1603,120,moderate
1604,120,moderate
1618,120,moderate
1652,120,moderate
1664,120,moderate
1665,120,moderate
1719,120,moderate
1927,120,moderate
2015,120,moderate
2030,120,moderate
2080,120,moderate
2120,120,moderate
2130,120,moderate
2203,120,moderate
2307,120,moderate
2308,120,moderate
2327,120,moderate
2507,120,moderate
2610,120,moderate
2662,120,moderate
2684,120,moderate
2911,120,moderate
3011,120,moderate
3108,120,moderate
3369,120,moderate
4232,120,moderate
4244,120,moderate
6161,120,moderate
6357,120,moderate
7654,120,moderate
7787,120,moderate
8021,120,moderate
3,119,moderate
369,119,moderate
1090,119,moderate
1140,119,moderate
1149,119,moderate
1172,119,moderate
1185,119,moderate
1247,119,moderate
1253,119,moderate
1280,119,moderate
1334,119,moderate
1378,119,moderate
1406,119,moderate
1409,119,moderate
1413,119,moderate
1418,119,moderate
1421,119,moderate
1422,119,moderate
1434,119,moderate
1611,119,moderate
1709,119,moderate
1712,119,moderate
1728,119,moderate
1732,119,moderate
1828,119,moderate
1901,119,moderate
1918,119,moderate
1922,119,moderate
1923,119,moderate
1930,119,moderate
2022,119,moderate
2023,119,moderate
2094,119,moderate
2102,119,moderate
2108,119,moderate
2114,119,moderate
2207,119,moderate
2221,119,moderate
2302,119,moderate
2316,119,moderate
2405,119,moderate
2503,119,moderate
2552,119,moderate
2612,119,moderate
2711,119,moderate
2903,119,moderate
3004,119,moderate
3105,119,moderate
3125,119,moderate
3221,119,moderate
3334,119,moderate
4011,119,moderate
4474,119,moderate
4477,119,moderate
4486,119,moderate
4512,119,moderate
4884,119,moderate
5013,119,moderate
6321,119,moderate
7411,119,moderate
7856,119,moderate
8411,119,moderate
8765,119,moderate
9797,119,moderate
351,118,moderate
730,118,moderate
999,118,moderate
1033,118,moderate
1035,118,moderate
1036,118,moderate
1038,118,moderate
1143,118,moderate
1162,118,moderate
1242,118,moderate
1286,118,moderate
1306,118,moderate
1328,118,moderate
1400,118,moderate
1405,118,moderate
1428,118,moderate
1431,118,moderate
1444,118,moderate
1486,118,moderate
1508,118,moderate
1540,118,moderate
1545,118,moderate
1589,118,moderate
1597,118,moderate
1599,118,moderate
1612,118,moderate
1624,118,moderate
1703,118,moderate
1804,118,moderate
1811,118,moderate
1924,118,moderate
1934,118,moderate
2025,118,moderate
2106,118,moderate
2115,118,moderate
2136,118,moderate
2225,118,moderate
2229,118,moderate
2231,118,moderate
2300,118,moderate
2305,118,moderate
2309,118,moderate
2318,118,moderate
2325,118,moderate
2331,118,moderate
2404,118,moderate
2406,118,moderate
2417,118,moderate
2504,118,moderate
2520,118,moderate
2589,118,moderate
2710,118,moderate
3121,118,moderate
3250,118,moderate
3303,118,moderate
3320,118,moderate
3325,118,moderate
3658,118,moderate
3721,118,moderate
4433,118,moderate
4523,118,moderate
5115,118,moderate
5233,118,moderate
5456,118,moderate
5544,118,moderate
5881,118,moderate
7117,118,moderate
7123,118,moderate
7778,118,moderate
9413,118,moderate
9583,118,moderate
9630,118,moderate
72,117,moderate
584,117,moderate
1037,117,moderate
1067,117,moderate
1174,117,moderate
1198,117,moderate
1257,117,moderate
1277,117,moderate
1299,117,moderate
1433,117,moderate
1436,117,moderate
1507,117,moderate
1517,117,moderate
1521,117,moderate
1580,117,moderate
1617,117,moderate
1705,117,moderate
1771,117,moderate
1807,117,moderate
1808,117,moderate
1879,117,moderate
1913,117,moderate
2040,117,moderate
2046,117,moderate
2050,117,moderate
2113,117,moderate
2119,117,moderate
2144,117,moderate
2206,117,moderate
2214,117,moderate
2272,117,moderate
2337,117,moderate
2365,117,moderate
2402,117,moderate
2407,117,moderate
2464,117,moderate
2502,117,moderate
2575,117,moderate
2606,117,moderate
2633,117,moderate
2802,117,moderate
3010,117,moderate
3012,117,moderate
3055,117,moderate
3103,117,moderate
3132,117,moderate
3234,117,moderate
3245,117,moderate
3312,117,moderate
3313,117,moderate
3433,117,moderate
3435,117,moderate
3511,117,moderate
3691,117,moderate
3698,117,moderate
4007,117,moderate
4142,117,moderate
4288,117,moderate
4431,117,moderate
4564,117,moderate
4569,117,moderate
4578,117,moderate
5212,117,moderate
5354,117,moderate
5424,117,moderate
5677,117,moderate
5689,117,moderate
6667,117,moderate
7179,117,moderate
7399,117,moderate
7458,117,moderate
7477,117,moderate
8808,117,moderate
8898,117,moderate
9009,117,moderate
9110,117,moderate
9991,117,moderate
4,116,moderate
14,116,moderate
342,116,moderate
357,116,moderate
691,116,moderate
990,116,moderate
1057,116,moderate
1064,116,moderate
1079,116,moderate
1139,116,moderate
1152,116,moderate
1154,116,moderate
1156,116,moderate
1169,116,moderate
1327,116,moderate
1352,116,moderate
1438,116,moderate
1440,116,moderate
1506,116,moderate
1509,116,moderate
1526,116,moderate
1559,116,moderate
1567,116,moderate
1605,116,moderate
1620,116,moderate
1626,116,moderate
1700,116,moderate
1704,116,moderate
1713,116,moderate
1725,116,moderate
1778,116,moderate
1801,116,moderate
1805,116,moderate
1822,116,moderate
2024,116,moderate
2125,116,moderate
2150,116,moderate
2187,116,moderate
2209,116,moderate
2241,116,moderate
2266,116,moderate
2358,116,moderate
2408,116,moderate
2415,116,moderate
2430,116,moderate
2441,116,moderate
2509,116,moderate
2539,116,moderate
2609,116,moderate
2622,116,moderate
2703,116,moderate
2728,116,moderate
2772,116,moderate
2810,116,moderate
2910,116,moderate
3134,116,moderate
3236,116,moderate
3304,116,moderate
3570,116,moderate
3651,116,moderate
3840,116,moderate
4333,116,moderate
4422,116,moderate
4560,116,moderate
4600,116,moderate
4700,116,moderate
5070,116,moderate
5412,116,moderate
5522,116,moderate
5788,116,moderate
5882,116,moderate
6688,116,moderate
6761,116,moderate
6977,116,moderate
7771,116,moderate
8462,116,moderate
8509,116,moderate
9773,116,moderate
9989,116,moderate
5,115,moderate
20,115,moderate
25,115,moderate
90,115,moderate
100,115,moderate
159,115,moderate
230,115,moderate
333,115,moderate
1047,115,moderate
1050,115,moderate
1058,115,moderate
1083,115,moderate
1151,115,moderate
1180,115,moderate
1252,115,moderate
1266,115,moderate
1298,115,moderate
1372,115,moderate
1377,115,moderate
1457,115,moderate
1475,115,moderate
1476,115,moderate
1514,115,moderate
1522,115,moderate
1552,115,moderate
1570,115,moderate
1575,115,moderate
1601,115,moderate
1628,115,moderate
1702,115,moderate
1777,115,moderate
1788,115,moderate
1860,115,moderate
1899,115,moderate
1921,115,moderate
2026,115,moderate
2117,115,moderate
2135,115,moderate
2290,115,moderate
2315,115,moderate
2367,115,moderate
2400,115,moderate
2403,115,moderate
2422,115,moderate
2434,115,moderate
2435,115,moderate
2455,115,moderate
2466,115,moderate
2506,115,moderate
2603,115,moderate
2627,115,moderate
2708,115,moderate
2801,115,moderate
2812,115,moderate
2882,115,moderate
2925,115,moderate
3007,115,moderate
3157,115,moderate
3166,115,moderate
3200,115,moderate
3235,115,moderate
3254,115,moderate
3266,115,moderate
3270,115,moderate
3324,115,moderate
3339,115,moderate
3399,115,moderate
3403,115,moderate
3512,115,moderate
3693,115,moderate
3699,115,moderate
3802,115,moderate
4219,115,moderate
4312,115,moderate
4411,115,moderate
4445,115,moderate
4566,115,moderate
4654,115,moderate
5200,115,moderate
5221,115,moderate
5246,115,moderate
5263,115,moderate
5423,115,moderate
5455,115,moderate
5623,115,moderate
5674,115,moderate
5880,115,moderate
5912,115,moderate
6125,115,moderate
6453,115,moderate
6540,115,moderate
6677,115,moderate
7103,115,moderate
7779,115,moderate
8383,115,moderate
9877,115,moderate
18,114,moderate
27,114,moderate
33,114,moderate
777,114,moderate
880,114,moderate
1055,114,moderate
1056,114,moderate
1074,114,moderate
1077,114,moderate
1148,114,moderate
1153,114,moderate
1167,114,moderate
1168,114,moderate
1173,114,moderate
1191,114,moderate
1246,114,moderate
1249,114,moderate
1330,114,moderate
1337,114,moderate
1429,114,moderate
1450,114,moderate
1451,114,moderate
1531,114,moderate
1600,114,moderate
1621,114,moderate
1632,114,moderate
1666,114,moderate
1721,114,moderate
1722,114,moderate
1739,114,moderate
1870,114,moderate
1876,114,moderate
1887,114,moderate
1926,114,moderate
2045,114,moderate
2141,114,moderate
2169,114,moderate
2217,114,moderate
2224,114,moderate
2228,114,moderate
2242,114,moderate
2243,114,moderate
2245,114,moderate
2252,114,moderate
2257,114,moderate
2342,114,moderate
2344,114,moderate
2378,114,moderate
2423,114,moderate
2426,114,moderate
2428,114,moderate
2480,114,moderate
2482,114,moderate
2522,114,moderate
2574,114,moderate
2579,114,moderate
2604,114,moderate
2705,114,moderate
2777,114,moderate
2808,114,moderate
2846,114,moderate
3025,114,moderate
3100,114,moderate
3107,114,moderate
3124,114,moderate
3224,114,moderate
3315,114,moderate
3318,114,moderate
3411,114,moderate
3577,114,moderate
3663,114,moderate
4144,114,moderate
4421,114,moderate
4466,114,moderate
4520,114,moderate
4864,114,moderate
4868,114,moderate
5004,114,moderate
5005,114,moderate
5105,114,moderate
5420,114,moderate
5421,114,moderate
5533,114,moderate
5574,114,moderate
5844,114,moderate
5861,114,moderate
5963,114,moderate
6988,114,moderate
7001,114,moderate
7301,114,moderate
7889,114,moderate
8013,114,moderate
8575,114,moderate
8624,114,moderate
9087,114,moderate
9112,114,moderate
9947,114,moderate
188,113,moderate
456,113,moderate
900,113,moderate
1137,113,moderate
1150,113,moderate
1159,113,moderate
1260,113,moderate
1263,113,moderate
1276,113,moderate
1279,113,moderate
1297,113,moderate
1349,113,moderate
1385,113,moderate
1442,113,moderate
1443,113,moderate
1578,113,moderate
1579,113,moderate
1609,113,moderate
1622,113,moderate
1699,113,moderate
1706,113,moderate
1708,113,moderate
1802,113,moderate
1806,113,moderate
1814,113,moderate
1824,113,moderate
1832,113,moderate
1915,113,moderate
2014,113,moderate
2145,113,moderate
2237,113,moderate
2280,113,moderate
2336,113,moderate
2389,113,moderate
2409,113,moderate
2519,113,moderate
2531,113,moderate
2569,113,moderate
2689,113,moderate
2704,113,moderate
2709,113,moderate
2714,113,moderate
2804,113,moderate
2806,113,moderate
2905,113,moderate
3101,113,moderate
3120,113,moderate
3179,113,moderate
3283,113,moderate
3300,113,moderate
3331,113,moderate
3332,113,moderate
3522,113,moderate
3618,113,moderate
3733,113,moderate
4020,113,moderate
4130,113,moderate
4231,113,moderate
4354,113,moderate
4441,113,moderate
4555,113,moderate
4785,113,moderate
5153,113,moderate
5333,113,moderate
5375,113,moderate
5511,113,moderate
5763,113,moderate
6000,113,moderate
6017,113,moderate
6822,113,moderate
7011,113,moderate
7077,113,moderate
7200,113,moderate
7414,113,moderate
7643,113,moderate
7707,113,moderate
7712,113,moderate
7773,113,moderate
7869,113,moderate
7887,113,moderate
7988,113,moderate
7997,113,moderate
8011,113,moderate
